Date Reported,Nature (Classification),Disposition,Date/Time Occurred,General Location
11/18/2024,Vandalism,Report Filed,11/11/2024 2230 - 11/18/2024 1400,San Rafael Residence Hall Bike Racks
11/18/2024,Petty Theft Vandalism,Report Filed,11/14/2024 2130 - 11/18/2024 2130,Manzanita Villages Bike Racks
11/19/2024,Petty Theft,Report Filed,Unknown,6500 Blk Cordoba Road
11/19/2024,Criminal Threats Assault by Force Causing Great Bodily Injury Vandalism Challenging to Fight in a Public Place Obstruct/Resist/Etc Police Officer/Emergency Med Tech,"Arrest, 1",11/18/2024 2308,6600 Blk Sabado Tarde Road
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 3",10/1/2024 22:40,Santa Catalina Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 1",10/5/2024 00:00,Santa Cruz Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 2",10/8/2024 21:45,Santa Rosa Residence Hall
11/19/2024,Drug Law Violation,"Referred to Student Conduct, 4",10/13/2024 01:20,Santa Catalina Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 4",10/17/2024 23:25,Santa Catalina Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 2",10/26/2024 00:57,San Rafael Residence Hall
11/19/2024,Liquor Law Violation,"Referred to Student Conduct, 5",10/31/2024 23:10,Santa Cruz Residence Hall
11/19/2024,Clery: Rape (3 instances) Clery: Fondling (2 instances) Clery: Dating Violence (5 instances),Report Filed,September 2016 - June 2018,Campus Housing
11/19/2024,Petty Theft,Report Filed,11/17/2024 1125 - 11/17/2024 1135,Davidson Library
11/19/2024,Misappropriation of Lost Property Petty Theft Prowling Obstruct/Resist/Etc Police Officer/Emergency Med Tech Take Bicycle Without Owner's Permission Possession of Unlawful Drug Paraphernalia,"Arrest, 1",11/19/2024 1217,Storke Family Housing
11/19/2024,Motor Vehicle Theft (Electric Bicycle),Report Filed,11/15/2024 1700 - 11/15/2024 1735,Biological Services II Bike Racks
11/20/2024,Petty Theft,Report Filed,11/19/2024 2200,Recreation Center
11/20/2024,Tamper with Vehicle,Report Filed,11/17/2024 1000 - 11/19/2024 2200,Santa Ynez Apartments
11/21/2024,Possession of Prescription Meds,"Citation, 1",11/20/2024 1256,Camino Pescadero/Seville Road
11/21/2024,Noise Ordinance,"Citation, 1",11/20/2024 2215,6700 Blk Del Playa Drive
11/21/2024,Burglary,Report Filed,11/20/2024 2307,700 Blk Camino Pescadero
11/21/2024,Battery Sexual Battery (Clery: Fondling) Aggravated Assault,Report Filed,10/19/2024 0100,Campus Housing
11/21/2024,Petty Theft Vandalism,Report Filed,11/19/2024 1600 - 11/21/2024 0830,San Clemente Villages Bike Racks
11/21/2024,Obtain Money/Etc. by False Pretenses (Clery: Stalking),Report Filed,11/20/2024 unknown - 11/21/2024 1221,Campus Housing
11/21/2024,Threaten Crime with Intent to Terrorize,Report Filed,10/31/2024 1317 - 11/4/2024 1513,Davidson Library
11/21/2024,Fraud by False Pretenses/Impersonation,Report Filed,Unknown,San Nicolas Residence Hall
11/22/2024,Minor in Possession of Alcohol Minor in Possession of False ID,"Citation, 1",11/21/2024 2204,Cervantes Road/Embarcadero Del Mar
11/22/2024,Minor in Possession of Alcohol,"Citation, 1",11/21/2024 2218,700 Blk Embarcadero Del Mar
11/22/2024,Noise Ordinance,"Citation, 1",11/21/2024 2323,6700 Blk Del Playa Drive
11/22/2024,Petty Theft,Report Filed,11/21/2024 2100 - 11/22/2024 0250,Davidson Library Bike Racks
11/23/2024,Extortion,Report Filed,11/23/2024 0222 - 11/23/2024 0343,Outside of UCSB PD Jurisdiction
11/23/2024,Noise Ordinance,"Citation, 1",11/22/2024 0043,6500 Blk Picasso Road
11/23/2024,Noise Ordinance Obstruct/Resist/Etc Police Officer/Emergency Med Tech,"Arrest, 1 Citation, 1",11/22/2024 0120,6700 Blk Del Playa Drive
11/23/2024,Noise Ordinance,"Citation, 1",11/22/2024 0043,6500 Blk Picasso Road
11/23/2024,Noise Ordinance,"Arrest, 1",11/22/2024 0120,6700 Blk Del Playa Drive
11/23/2024,Obstruct/Resist/Etc Police Officer/Emergency Med Tech Public Intoxication,"Citation, 1 Arrest, 1",11/22/2024 0247,6700 Blk Del Playa Drive
11/23/2024,Petty Theft,Report Filed,11/21/2024 1330,6500 Blk Pardall Road
11/23/2024,Violation of a Protective Order,"Arrest, 1",11/22/2024 1946,6500 Blk Trigo Road
